"","x"
"beta2",2.27237069527382e-07
"beta3",2.99003342028754e-07
"H",4.13735635123352e-07
"p",4.62545143089165e-07
"beta1",5.84310345631089e-07
"density",8.55582886992474e-07
"percep",1.04354363398643e-06
"rec_rate",1.24838454069217e-06
