"","%IncMSE","IncNodePurity"
"density",2.75629209445258e-06,0.047825313175434
"inf_prob",0,0
"rec_rate",3.73392723311217e-06,0.0598723166776926
"p",1.29403883887899e-06,0.0280588672665154
"H",9.16436422609556e-07,0.0229134220154009
"beta1",1.84572677717992e-06,0.0369111525570066
"beta2",5.84108163496729e-07,0.0141905666063837
"beta3",9.22685446798461e-07,0.0214513576019609
"percep",4.03703385089358e-06,0.0624106705199374
