"","x"
"density",90.8903053374854
"inf_prob",0
"rec_rate",102.863900698492
"p",23.7111372990482
"H",20.9384480522661
"beta1",35.136424101985
"beta2",83.955595656266
"beta3",54.1792754150657
"percep",105.783982276619
