"","%IncMSE","IncNodePurity"
"density",9395.34708238424,204349512.597295
"inf_prob",0,0
"rec_rate",13861.3343467498,288439995.260204
"p",1083.79483500634,31206180.3016517
"H",938.592858760407,30059227.3807035
"beta1",2441.19401714247,56873022.3538822
"beta2",4868.0852690934,90355687.0340698
"beta3",2884.62341871618,77259051.2953061
"percep",10287.3245432456,216546428.880981
