"","%IncMSE","IncNodePurity"
"density",0.00819326670697233,1121.2590563896
"inf_prob",0,0
"rec_rate",0.0420587724691511,6030.05430167366
"p",0.000636960293161036,135.881247845164
"H",0.00191998236255635,248.76688860209
"beta1",0.00270968447645134,330.224839582444
"beta2",0.00249942999954956,330.50657759975
"beta3",0.000873843285122877,159.611348893804
"percep",0.000696535224505707,137.639717586798
