"","x"
"density",3.14827694212975e-08
"inf_prob",0
"rec_rate",3.95326295995464e-08
"p",2.4903216033313e-08
"H",2.25048480827082e-08
"beta1",2.84584046888511e-08
"beta2",1.36631273526405e-08
"beta3",1.91422452408181e-08
"percep",4.09882585014648e-08
