"","X","k","density","inf_prob","rec_rate","duration","max_I","max_prevalence","percep","p","H","beta1","beta2","beta3","betas","pbyH","Hurst","proportion","lstructure"
"42",42,8,0.25,0.2,0.1,116,14851,0.899406492248062,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,8,0.25,0.2,0.1,95,14863,0.900133236434108,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,8,0.25,0.2,0.1,97,14865,0.900254360465116,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,8,0.25,0.2,0.1,94,14820,0.897529069767442,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,8,0.25,0.2,0.1,117,14920,0.90358527131783,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,8,0.25,0.2,0.1,89,14904,0.902616279069767,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,8,0.25,0.2,0.1,104,14925,0.903888081395349,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,8,0.25,0.2,0.1,98,14802,0.896438953488372,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,8,0.25,0.2,0.1,95,14851,0.899406492248062,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,8,0.25,0.2,0.1,112,14893,0.901950096899225,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,8,0.25,0.2,0.1,90,14896,0.902131782945736,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,8,0.25,0.2,0.1,92,14852,0.899467054263566,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,8,0.25,0.2,0.1,83,14844,0.898982558139535,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,8,0.25,0.2,0.1,91,14912,0.903100775193798,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,8,0.25,0.2,0.1,98,14827,0.897953003875969,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,8,0.25,0.2,0.1,89,14854,0.899588178294574,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,8,0.25,0.2,0.1,104,14883,0.901344476744186,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,8,0.25,0.2,0.1,111,14799,0.896257267441861,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,8,0.25,0.2,0.1,95,14855,0.899648740310077,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,8,0.25,0.2,0.1,107,14873,0.900738856589147,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,8,0.25,0.2,0.1,83,14856,0.899709302325581,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,8,0.25,0.2,0.1,102,14885,0.901465600775194,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,8,0.25,0.2,0.1,86,14819,0.897468507751938,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,8,0.25,0.2,0.1,106,14830,0.898134689922481,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,8,0.25,0.2,0.1,85,14876,0.900920542635659,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,8,0.25,0.2,0.1,91,14796,0.896075581395349,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,8,0.25,0.2,0.1,89,14893,0.901950096899225,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,8,0.25,0.2,0.1,102,14863,0.900133236434108,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,8,0.25,0.2,0.1,88,14877,0.900981104651163,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,8,0.25,0.2,0.1,96,14815,0.897226259689923,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,8,0.25,0.2,0.1,98,14862,0.900072674418605,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,8,0.25,0.2,0.1,98,14887,0.901586724806202,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,8,0.25,0.2,0.1,88,14880,0.901162790697674,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,8,0.25,0.2,0.1,87,14861,0.900012112403101,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,8,0.25,0.2,0.1,96,14842,0.898861434108527,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,8,0.25,0.2,0.1,108,14880,0.901162790697674,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,8,0.25,0.2,0.1,95,14861,0.900012112403101,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,8,0.25,0.2,0.1,103,14881,0.901223352713178,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,8,0.25,0.2,0.1,113,14884,0.90140503875969,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,8,0.25,0.2,0.1,83,14855,0.899648740310077,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,8,0.25,0.2,0.1,94,14915,0.90328246124031,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,8,0.25,0.2,0.1,96,14934,0.904433139534884,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,8,0.25,0.2,0.1,91,14864,0.900193798449612,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,8,0.25,0.2,0.1,103,14879,0.90110222868217,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,8,0.25,0.2,0.1,88,14850,0.899345930232558,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,8,0.25,0.2,0.1,112,14865,0.900254360465116,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
