"","x"
"p",0.00089108092010176
"percep",0.000934573519099675
"beta3",0.00108348392295251
"H",0.00249220325209498
"beta2",0.00298546569240435
"beta1",0.00333421788649678
"density",0.00864272330187189
"rec_rate",0.0447549260372466
