"","x"
"density",2.70521159851443e-05
"inf_prob",0
"rec_rate",0.000129994210468196
"p",8.50512769690727e-06
"H",1.37342581693184e-05
"beta1",1.65863086575936e-05
"beta2",1.81079653661252e-05
"beta3",1.00483864357093e-05
"percep",8.32113329226734e-06
